NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
*mo²	sky	天 (天空)	1732	SKY	noun
*mo² (ʔ)-ne¹	sun	太阳	1343	SUN	noun
*tsa¹ & *pu¹	sunshine	阳光	3276	SUNSHINE	noun
*bəla³	moon	月亮	1313	MOON	noun
*C-gray¹	star	星星	1430	STAR	noun
*mo¹ C-dim¹	cloud	云	1489	CLOUD	noun
*le¹	wind	风	960	WIND	noun
*r-ywa/we¹	rain	雨	658	RAIN (PRECIPITATION)	noun
*b-lyapL	lightning	闪电	1654	LIGHTNING	noun
*ɡyan² & *ɡro²	thunder	雷	1150	THUNDER	noun
*ʃi³	rainbow	彩虹	1733	RAINBOW	noun
*wa²	snow	雪	784	SNOW	noun
*re¹ ʔ-ɡrakH & *laŋ¹	water	水	948	WATER	noun
	fog	雾	249	FOG	noun
	frost	霜	2034	FROST	noun
	dew	露	1977	DEW	noun
*wa²	hail	雹 (雹暴)	609	HAIL	noun
*ʔ-mre¹ tsa²	earth	地 (大地/草地)	1228	EARTH (SOIL)	noun
	soil; dirt	土(干) (土壤)	1015	SOIL	verb
*(m)-catH/L & *ʔputL/poŋ²	mud	泥(巴)	640	MUD	noun
*laŋ¹	river	河	666	RIVER	noun
	ditch	沟	2002	DITCH	noun
	pond	池塘	2035	POND	noun
	puddle	小池塘	2290	PUDDLE	noun
	well inside	井	954	WELL	noun
*kaŋ¹	mountain (dirt)	山(土山)	639	MOUNTAIN	noun
*ʔ-rakᶫ, C-rakL	cliff	悬崖	992	CLIFF	noun
*C-kyoŋ¹, laŋ¹	valley	(山)谷	921	VALLEY	noun
	cave	(山)洞	1155	CAVE	noun
	hole (in ground)	洞	1667	HOLE	noun
*s-rwe¹ & *[kam]	gold	金	1369	GOLD	noun
*plu¹ & *C-ŋwe¹	silver	银	759	SILVER	noun
*xam¹	iron (ore)	铁	621	IRON	noun
	tin	锡	893	TIN (METAL)	noun
	coal	煤	2658	COAL	noun
*k-lokL & *C-rakL	stone	石头	857	STONE	noun
*say²	sand	沙	671	SAND	noun
*C-mi²	fire	火	221	FIRE	noun
*ʔ-lam¹	flame	火焰	889	FLAME	noun
*ko²	smoke	烟 (炊烟)	778	SMOKE (EXHAUST)	noun
*ʔ-rakL	night	夜	1233	NIGHT	noun
*(ʔ)ne³	day	天	1225	DAY (NOT NIGHT)	noun
*yakL (ʔ)ne³	today	今天	1283	TODAY	other
*yakL (ʔ)ne³	today	今天	1283	TODAY	other
*yakL (ʔ)ne³	today	今天	1283	TODAY	other
*ʔəmi¹	yesterday	昨天	1174	YESTERDAY	other
*ʔəʃikH	day before yesterday	前天	1180	DAY BEFORE YESTERDAY	other
	three days ago	大前天	2333	THREE DAYS BEFORE NOW	other
	four days ago	四天前	3278	FOUR DAYS BEFORE NOW	other
*ʔ-praŋ²	tomorrow	明天	1329	TOMORROW	other
*pakH	day after tomorrow	后天	1179	DAY AFTER TOMORROW	other
*pin²	three days from now	大后天	2332	THREE DAYS FROM NOW	other
	four days from now	四天后	3277	FOUR DAYS FROM NOW	other
*s-nikH & *C-kokL	year	年	1226	YEAR	noun
	new year	新年	2188	NEW YEAR'S EVE	noun
	this year	今年	513	THIS YEAR	other
	last year	去年	514	LAST YEAR	other
	year before last	前年	2331	YEAR BEFORE LAST YEAR	other
	three years ago	大前年			
	four years ago	四年前			
	next year	明年	515	NEXT YEAR	other
	year after next	后年	2330	YEAR AFTER NEXT YEAR	other
	three years from now	大后年			
	three years from now	大后年			
	four years from now	四年后			
	daytime	白天	1225	DAY (NOT NIGHT)	noun
*C-nakL	dawn	黎明	729	DAWN	noun
*ʃaw²	morning (early)	早晨	1339	MORNING	noun
	noon	中午	12	MIDDAY	noun
*(C)-kutL/H, ʔkʷutᶫ	afternoon	下午	1807	AFTERNOON	noun
*(C)-kutL/H, ʔkʷutᶫ	dusk/evening	黄昏	1629	EVENING	noun
	night(time)	夜(里)/黑夜	1233	NIGHT	noun
*ʔ-kutL	this evening	今晚			
	this morning	今早	1339	MORNING	noun
*[jam]	time	时间	892	TIME	noun
*nwa²	cow	牛	1007	COW	noun
*o² & *ŋya²	buffalo (water)	水牛	2516	WATER BUFFALO	noun
*ʔ-myaŋ¹ & *nwa²	field cow	黄牛	1153	CATTLE	noun
*mraŋ¹	horse	马	615	HORSE	noun
*wakL	pig	猪	1337	PIG	noun
	sow	母猪	1351	SOW (FEMALE PIG)	noun
	piglet	小猪	2564	PIGLET	noun
	boar	公猪	1348	BOAR (MALE PIG)	noun
	boar	公猪	1348	BOAR (MALE PIG)	noun
	boar (wild)	野猪	3154	WILD BOAR	noun
*(k)-citL	goat	山羊	1502	GOAT	noun
	ram	公羊	1344	RAM	noun
*ʒo¹	sheep	绵羊	1331	SHEEP	noun
*kwe²	dog	狗	2009	DOG	noun
*ni¹ & *mi¹	cat	猫	1208	CAT	noun
*taŋ² loŋ²/¹	rabbit	兔子	1136	RABBIT	noun
	dragon	龙	2038	DRAGON	noun
*zaŋ/zaw/zan²	animal	动物	619	ANIMAL	noun
	wild animal	野兽	958	WILD ANIMAL	noun
*k-d-wam¹	bear	熊	1820	BEAR	noun
*k-la²	tiger	老虎	846	TIGER	noun
*k-zikL	leopard; panther	豹	1139	LEOPARD	noun
	wolf	狼	522	WOLF	noun
*myokL	monkey	猴子	1350	MONKEY	noun
*ʃ-/ʔp-yam¹	otter	水獭	15	OTTER	noun
	weasel	黄鼠狼	3384	WEASEL	noun
*krapH	pangolin	穿山甲	2508	PANGOLIN	noun
*kye¹	muntjak deer	麂子／赤鹿	3152	MUNTJACS	noun
*(k)-tsatL	sambar deer	水鹿/黑鹿			
*ʔ-plu²	porcupine	豪猪/箭猪	2510	PORCUPINE	noun
*(k)-rwakH	rat; mouse	老鼠	2139	MUROID (MOUSE OR RAT)	noun
*tokH	squirrel	松鼠	1628	SQUIRREL	noun
*k-rakH	chicken	鸡	1318	CHICKEN	noun
*po¹	rooster	公鸡	1511	ROOSTER	noun
	hen	母鸡	1514	HEN	noun
*ʔ-bay² & *ɡapL	duck	鸭子	1360	DUCK	noun
	goose	鹅	1187	GOOSE	noun
*s-ŋyakH	bird	鸟	937	BIRD	noun
	swallow	燕子	897	SWALLOW	verb
*m-ja¹	sparrow	麻雀	1854	SPARROW	noun
*akL/a³	crow	乌鸦	913	CROW	noun
	magpie	喜鹊	2039	MAGPIE	noun
*k-ʔ-ko² & *k-m-ɡu²	dove; pigeon	鸽	1853	DOVE	noun
	pheasant	野鸟/野鸡	3060	PHEASANT	noun
*[k]-dzwan¹	eagle; hawk	老鹰	2683	EAGLE OR HAWK	noun
	owl	猫头鹰	735	OWL	noun
*bo¹ no/na³/²	bat	蝙蝠	1793	BAT	noun
*k-ʔ-pa²	frog	青蛙	503	FROG	noun
*ʔ-brut	toad	癞蛤蟆	894	TOAD	noun
*ŋa²	fish	鱼	227	FISH	noun
*m-rwe¹ & *laŋ¹	snake	蛇	730	SNAKE	noun
	lizard	蜥蜴／壁虎	632	LIZARD	noun
*k-rwatL	leech	蚂蟥/水蛭	2273	LEECH	noun
*baŋ³ & m-ɡu¹/m-ɡa²	spider	蜘蛛	843	SPIDER	noun
*bi/bo²	insect	昆虫	620	INSECT	noun
*p-rwakH	ant	蚂蚁	587	ANT	noun
*k-ru²	termite	白蚁	883	TERMITE	noun
	mantis	螳螂	3279	MANTIS	noun
*ʔ-pi/ʔ-pya³	roach	蟑螂	1575	COCKROACH	noun
*C-brutL	fly	苍蝇	1441	FLY (MOVE THROUGH AIR)	verb
*bya²	honeybee	蜜蜂	665	BEE	noun
	wasp	黄蜂	1517	WASP	noun
	mosquito	蚊子	1509	MOSQUITO	noun
	dragonfly	蜻蜓	2352	DRAGONFLY	noun
*C-lu³	butterfly	蝴蝶	1791	BUTTERFLY	noun
	cricket	蟋蟀	2354	CRICKET	noun
	grasshopper	蚱蜢	607	GRASSHOPPER	noun
	flea	跳蚤	232	FLEA	noun
*xan¹	louse (clothing)	虱子(衣上)	1392	LOUSE	noun
	centipede	蜈蚣	1974	CENTIPEDE	noun
*bu¹/² di¹	earthworm	蚯蚓	2350	EARTHWORM	noun
*bu¹/² di¹	worm	虫	1219	WORM	noun
	caterpillar	毛虫	2247	CATERPILLAR	noun
	maggot	蛆/蛆虫	2640	LARVA	noun
	nest	窝 (鸟窝)	539	NEST	noun
*u³	egg	蛋	744	EGG	noun
*doŋ¹	wing	翅膀	1257	WING	noun
	claw; talon	爪	72	CLAW	noun
	hoof	蹄	152	HOOF	noun
*kro¹	horn	角	1393	HORN (ANATOMY)	noun
*daŋ¹ ʔ-mri²	tail	尾巴	1220	TAIL	noun
*ʔ-cway¹	tusk	长牙	3280	TUSK	noun
	(cocks)comb	冠（鸡冠）	188	COMB OF BIRD	noun
*sikH & *baŋ² & *dzin¹	tree	树	906	TREE	noun
*C-gripL & *taŋ² & *ʔ-maŋ² & *jun³	pine tree	松树	1740	PINE	noun
	fir tree	杉树	1915	FIR	noun
	willow tree	柳树	818	WILLOW	noun
*wa² & *ma¹	bamboo	竹子	1927	BAMBOO	noun
*s-myetL/H	bamboo shoot	竹笋	2494	BAMBOO SHOOT	noun
ʃa³	wheat	小麦	1077	WHEAT	noun
	buckwheat	荞麦/荞子	2040	BUCKWHEAT	noun
	millet	稷	931	MILLET	noun
zi¹	barley	大麦	932	BARLEY	noun
	sorghum	高粱	347	SORGHUM	noun
	job's tears	薏苡	3281	JOB'S TEARS	noun
*ʃa¹ & *C-kokL	corn	玉米	506	MAIZE	noun
	ear of grain	穗子	3244	EAR (OF GRAIN)	noun
	peanut	花生	2364	PEANUT	noun
	walnut	核桃	2042	WALNUT	noun
	cotton	棉花	1850	COTTON	noun
	ramie	苎麻	3063	RAMIE	noun
*s-nokH  & *ʔ-bay²/atH	bean	豆子	832	BEAN	noun
*pe²/³	melon	瓜	507	MELON	noun
*pe²/³	melon	瓜	507	MELON	noun
*(ʔə)-pu²	gourd	葫芦	411	GOURD	noun
	cucumber	黄瓜	496	CUCUMBER	noun
	eggplant	茄子	1146	AUBERGINE	noun
	vegetable	蔬菜	924	VEGETABLES	noun
*Craŋ²	cabbage greens	青菜	774	CABBAGE	noun
	radish	萝卜	2365	RADISH	noun
*swan¹/²	garlic	蒜	2368	GARLIC	noun
	ginger	姜	2500	GINGER	noun
	galangal	高良姜 (山奈)			
*C-patL/pi²	chili pepper	辣椒	919	CHILI PEPPER	noun
*si²	fruit	水果	1507	FRUIT	noun
	peach	桃子	2043	PEACH	noun
	persimmon	柿子	2044	PERSIMMON	noun
